'Page number,'Key,'Value,'Confidence Score % (Key),'Confidence Score % (Value)
"'1","'Suite 200, Washington DC","'20005, 202-727-3071","'60.21534729","'60.21534729"
"'1","'Please tear on the dotted line below.","'000000000001","'63.04491043","'63.04491043"
"'1","'Invoice Number:","'","'80.00000000","'80.00000000"
"'1","'Page","'1 of 4","'93.38625336","'93.38625336"
"'1","'Account number","'1234 5678 910","'94.91809845","'94.91809845"
"'2","'Check here to enroll in the Direct Debit plan","'NOT_SELECTED","'94.14199066","'67.91992188"
"'2","'Sign and date here","'","'92.35540771","'92.35540771"
"'1","'Total amount due by Feb 20, 2024","'$54.75","'95.39070129","'95.39070129"
"'1","'Total amount due after Feb 20, 2024","'$55.30","'95.48751831","'95.48751831"
"'1","'Auto Pay Plan","'","'69.21210480","'69.21210480"
"'1","'Amount","'$","'88.35107422","'88.35107422"
"'2","'Maryland","'201 West Gude Dr, Rockville Fri) 10:00am - 2:00pm 8300 Old Marlboro Pk, Forestville (Mon, Wed, Fri) 10:00am - 2:00pm","'52.20264816","'52.20264816"
"'1","'PO BOX","'13608","'80.40402222","'80.40402222"
"'1","'WASHINGTON DC","'20003-1764","'47.37127686","'47.37127686"
"'2","'Residential-R","'service number 9999 9999 9999 9999 9999 99","'63.76778412","'63.76778412"
"'2","'Meter Number","'1ND123456789","'93.86177826","'93.86177826"
"'2","'Energy Type","'Use (kWh)","'73.61106873","'73.61106873"
"'2","'End Date","'043235","'85.03822327","'85.03822327"
"'2","'Start Date","'Dec 23 042955","'59.49720764","'59.49720764"
"'2","'Number Of Days","'35","'94.29656219","'94.29656219"
"'2","'Total Use","'280","'94.32771301","'94.32771301"
"'2","'Reading","'","'80.00000000","'80.00000000"
"'2","'Multiplier","'1","'93.96913910","'93.96913910"
"'3","'Adjustment 280 kWh X $0.0020100 per kWh","'0.56","'60.36614609","'60.36614609"
"'2","'Delivery Charges:","'These charges reflect the cost of bringing electricity to you. 35 days, winter rates in effect.","'42.73255539","'42.73255539"
"'2","'Subtotal (Not set by DC PSC)","'3.75","'95.36609650","'95.36609650"
"'2","'Page","'2 of 4","'74.58438110","'74.58438110"
"'2","'(Mon","'Fri) 8:30am - 5:15pm","'58.93382263","'58.93382263"
"'2","'(Mon -","'","'59.93695068","'59.93695068"
"'2","'SE (Mon -","'Fri) 9:00am - 5:00pm","'54.92670059","'54.92670059"
"'3","'Supply Charges:","'These charges reflect the cost of producing electricity for you. You can compare this part of your bill to offers from competitive suppliers. Based on billed use, your average annual price to compare is 12.01 cents per kwh.","'86.10086823","'86.10086823"
"'3","'Billing Period:","'Dec 23, 2023 to Jan 26, 2024 (35 days)","'95.08065033","'95.08065033"
"'3","'Total Electric Charges - Residential-R","'54.75","'95.38977051","'95.38977051"
"'3","'Year Month","'2223 2223 2223 2223 2223 2223 2223 2223 2223 2223 2223 2324 Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Jan","'64.83536530","'64.83536530"
"'3","'Please visit My Account at pepco.com","'your daily and hourly energy used during this billing period.","'64.24104309","'64.24104309"
"'3","'Page","'3 of 4","'83.01194763","'83.01194763"
"'4","'Page","'4 of 4","'89.85801697","'89.85801697"
